,Title,Published_date,Views,Likes,Favorite,Comments,Month
210,Avoid These Data Science Resume Mistakes!,2020-02-10,28035,1235,0,62,Feb
211,Data Science Explained with ... Cooking?,2020-02-07,5182,312,0,48,Feb
212,The 4 Types of Sports Analytics Projects,2020-02-03,29838,983,0,62,Feb
213,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,578,18,0,13,Jan
214,How I Learned Data Science,2020-01-27,93694,2682,0,210,Jan
215,What is Sports Analytics Really?,2020-01-20,20724,605,0,73,Jan
216,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110161,3117,0,577,Jan
217,How To Learn Programming for Data Science [3 Steps],2020-01-13,29958,1975,0,96,Jan
218,Data Science Fundamentals: SQL Queries,2020-01-10,6308,211,0,35,Jan
219,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3112,150,0,14,Jan
220,The 9 Books That Changed My Perspective in 2019,2020-01-03,3371,179,0,25,Jan
221,The Data Science Interview: What to Expect,2019-12-30,8406,375,0,32,Dec
222,5 Data Science Resolutions for 2020,2019-12-27,474,25,0,12,Dec
223,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16413,572,0,92,Dec
224,Collision Course: Sports Betting + Data Science,2019-12-20,17031,484,0,27,Dec
225,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100812,2937,0,204,Dec
226,5 Sports Analytics Books to Get You Started,2019-12-13,10594,403,0,57,Dec
227,Math Needed for Mastering Data Science,2019-12-09,55976,2849,0,222,Dec
228,The 5 Stages of Data Science Adoption,2019-12-06,1313,68,0,17,Dec
229,How YOU Can Land a Sports Analytics Job,2019-12-02,68084,3030,0,231,Dec
230,Data Science Fundamentals: Linear Regression,2019-11-29,6286,172,0,42,Nov
231,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1044,52,0,12,Nov
232,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5920,268,0,26,Nov
233,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45956,1751,0,80,Nov
234,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5909,137,0,31,Nov
235,Why Selling Is An Important Data Science Skill,2019-11-04,1612,79,0,13,Nov
236,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2800,73,0,18,Oct
237,Why is Balance Important in Data Science?,2019-10-16,701,32,0,13,Oct
238,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11791,580,0,54,Sep
239,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3760,115,0,33,Sep
240,6 Habits of Successful Data Scientists,2019-09-13,2204,95,0,17,Sep
241,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4455,101,0,9,Sep
242,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,0,29,Aug
243,Is Data Science Right For You?,2019-08-18,50339,1169,0,109,Aug
244,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14698,391,0,55,Aug
245,How To Get Data Science Experience (Without a Job),2019-08-08,29185,1383,0,75,Aug
246,Take Your Data Science Projects From Good to Great,2019-08-05,1595,107,0,11,Aug
247,The Projects You Should Do To Get A Data Science Job,2019-07-30,149304,5688,0,254,Jul
248,What Does a Data Scientist Actually Do?,2019-07-19,45381,1257,0,81,Jul
249,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12815,351,0,42,Jul
250,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17683,525,0,61,Jul
251,Data Science: Pros and Cons,2019-06-30,5164,214,0,18,Jun
252,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24335,1180,0,89,Jun
253,My Top 5 Data Science Internship Tips,2019-06-15,11800,491,0,23,Jun
254,Golf STATS: Strokes Gained Explained,2019-06-07,7255,148,0,28,Jun
255,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,615,44,0,5,May
256,What I Learned From My Three Degrees,2019-05-17,1249,60,0,12,May
257,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25625,1071,0,66,May
258,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1233,40,0,2,May
259,Should You Learn R for Data Science?,2019-04-25,20602,552,0,69,Apr
260,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46314,855,0,334,Apr
261,Work From Home Data Scientist: Day in the Life,2019-04-12,28049,762,0,101,Apr
262,Where to Look for Data Science Jobs,2019-03-29,2999,120,0,9,Mar
263,Data Science: Startup vs. Large Corporation,2019-03-21,2104,74,0,4,Mar
264,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6112,174,0,26,Mar
265,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4156,180,0,15,Mar
266,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,798,33,0,12,Mar
267,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1427,35,0,8,Mar
268,Where YOU Should Start With Data Science Projects,2019-02-19,16373,339,0,17,Feb
269,Watch This Before Applying to Data Science Jobs,2019-02-04,1482,66,0,13,Feb
270,My Top 5 Data Science Resources for 2019,2019-01-05,3681,121,0,17,Jan
271,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,829,37,0,6,Dec
272,The Best Way to Predict NBA Minutes Played,2018-12-11,4198,107,0,14,Dec
273,Demystifying Data Science Roles,2018-11-30,1129,54,0,5,Nov
274,How to Simulate NBA Games in Python,2018-11-19,17554,391,0,54,Nov
275,Should You Get A Masters in Data Science?,2018-11-14,20488,306,0,135,Nov
276,How I Became A Data Scientist From a Business Background,2018-11-12,6408,198,0,23,Nov
277,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8605,193,0,17,Jul
278,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18820,292,0,41,Nov
